date,latitude,longitude,numberofcases,comments
2016-01-24,1.3465716,103.9336374,1,Tampines Avenue 1 (Blk 890B)
2016-01-24,1.3497514,103.9344215,4,Tampines Avenue 3
2016-01-24,1.3516172,103.94133,82,Tampines Avenue 4
2016-01-24,1.34703,103.937957,2,Tampines Avenue 4 (Blk 801)
2016-01-24,1.345189,103.93787,6,Tampines Avenue 4 (Blk 803)
2016-01-24,1.3457286,103.9374662,13,Tampines Avenue 4 (Blk 804)
2016-01-24,1.346217,103.937214,8,Tampines Avenue 4 (Blk 805)
2016-01-24,1.3455016,103.936761,14,Tampines Avenue 4 (Blk 806)
2016-01-24,1.345854,103.936136,9,Tampines Avenue 4 (Blk 807)
2016-01-24,1.346469,103.9360159,4,Tampines Avenue 4 (Blk 808)
2016-01-24,1.359961,103.885823,3,Tampines Avenue 4 (Blk 809)
2016-01-24,1.359961,103.885823,5,Tampines Avenue 4 (Blk 810)
2016-01-24,1.346566,103.937215,6,Tampines Avenue 4 (Blk 811)
2016-01-24,1.346973,103.937397,6,Tampines Avenue 4 (Blk 812)
2016-01-24,1.3472567,103.9375412,2,Tampines Avenue 4 (Blk 815)
2016-01-24,1.3671771,103.9278919,4,Tampines Avenue 4 (Blk 816)
2016-01-24,1.3490549,103.929185,1,Tampines Avenue 8 (Blk 892)
2016-01-24,1.348515,103.930131,1,Tampines Avenue 8 (Blk 893)
2016-01-24,1.3488598,103.9348281,2,Tampines Street 81 (Blk 813)
2016-01-24,1.3488598,103.9348281,10,Tampines Street 81 (Blk 814)
2016-01-24,1.347639,103.936553,2,Tampines Street 81 (Blk 817)
2016-01-24,1.3488598,103.9348281,5,Tampines Street 81 (Blk 818)
2016-01-24,1.3488598,103.9348281,4,Tampines Street 81 (Blk 819)
2016-01-24,1.347988,103.936179,2,Tampines Street 81 (Blk 820)
2016-01-24,1.3503718,103.9320276,1,Tampines Street 81 (Blk 887)
2016-01-24,1.3488346,103.9320276,3,Tampines Street 81 (Blk 894)
2016-01-24,1.347971,103.9318569,5,Tampines Street 81 (Blk 894A)
2016-01-24,1.3482947,103.9339607,1,Tampines Street 81 (Blk 895)
2016-01-24,1.3476608,103.9324808,1,Tampines Street 81 (Blk 895A)
2016-01-24,1.3482947,103.9339607,2,Tampines Street 81 (Blk 896)
2016-01-24,1.347711,103.934242,2,Tampines Street 81 (Blk 897)
2016-01-24,1.347317,103.934713,1,Tampines Street 81 (Blk 898)
2016-01-24,1.3465454,103.935472,4,Tampines Street 81 (Blk 899)
2016-01-24,1.3488598,103.9348281,1,Tampines Street 81 (Blk 899A)
2016-01-24,1.3476439,103.9404331,1,Tampines Street 91 (Blk 927)
2016-01-24,1.3463015,103.9396416,3,Tampines Street 91 (Blk 929)
2016-01-24,1.3455685,103.9398229,8,Tampines Street 91 (Blk 932)
2016-01-24,1.3476439,103.9404331,11,Tampines Street 91 (Blk 933)
2016-01-24,1.3476439,103.9404331,1,Tampines Street 91 (Blk 934)
2016-01-24,1.3498009,103.9387816,3,Tampines Street 91 (Blk 935)
2016-01-24,1.3152359,103.8553245,16,Joo Avenue
2016-01-24,1.316366,103.8513808,6,Kent Road (Blk 52)
2016-01-24,1.316682,103.852162,1,Kent Road (Blk 53)
2016-01-24,1.3177356,103.8515996,2,Mergui Road
2016-01-24,1.3130285,103.8536787,1,Owen Road
2016-01-24,1.3153569,103.8519835,3,Oxford Road (Kentish Court)
2016-01-24,1.3158816,103.852283,5,Oxford Road (Kentish Lodge)
2016-01-24,41.4361892,-73.118888,1,Oxford Road (Oxford Suites)
2016-01-24,1.313287,103.8551175,4,Perumal Road
2016-01-24,1.308837,103.8512616,2,Race Course Road
2016-01-24,1.313615,103.855152,5,Race Course Road (Blk 681)
2016-01-24,1.307925,103.850605,2,Race Course Road (Blk 682)
2016-01-24,1.307925,103.850605,4,Race Course Road (Blk 684)
2016-01-24,1.3124979,103.8549934,1,Rangoon Road (Blk 677)
2016-01-24,1.352083,103.819836,1,Rangoon Road (R66 Apartments)
2016-01-24,1.352083,103.819836,1,Rangoon Road (Suites 123)
2016-01-24,1.3165419,103.8538477,1,Rangoon Lane
2016-01-24,1.3152005,103.8537717,8,Rangoon Road
2016-01-24,1.307093,103.851957,5,Serangoon Road
2016-01-24,1.3151066,103.8540976,22,Sing Avenue
2016-01-24,1.352083,103.819836,3,Sing Avenue (Bliss Regalia)
2016-01-24,1.3149224,103.8549757,3,Sing Joo Walk
2016-01-24,1.3140127,103.8535905,1,Starlight Road
2016-01-24,1.314549,103.855457,3,Tessensohn Road
2016-01-24,1.314549,103.855457,4,Tessensohn Road (Blk 683)
2016-01-24,1.36892,103.95797,1,Pasir Ris Drive 6 (Blk 442)
2016-01-24,1.365865,103.9543875,1,Pasir Ris Street 11 (Blk 109)
2016-01-24,1.365865,103.9543875,2,Pasir Ris Street 11 (Blk 110)
2016-01-24,1.365865,103.9543875,9,Pasir Ris Street 11 (Blk 111)
2016-01-24,1.365865,103.9543875,16,Pasir Ris Street 11 (Blk 112)
2016-01-24,1.365865,103.9543875,8,Pasir Ris Street 11 (Blk 113)
2016-01-24,1.3686896,103.9545084,1,Pasir Ris Street 11 (Blk 116)
2016-01-24,1.3678825,103.9547804,1,Pasir Ris Street 11 (Blk 117)
2016-01-24,1.365865,103.9543875,3,Pasir Ris Street 11 (Blk 119)
2016-01-24,1.3652882,103.9580519,1,Pasir Ris Street 11 (Blk 120)
2016-01-24,1.3652882,103.9580519,3,Pasir Ris Street 11 (Blk 121)
2016-01-24,1.3652882,103.9580519,3,Pasir Ris Street 11 (Blk 122)
2016-01-24,1.365865,103.9543875,2,Pasir Ris Street 11 (Blk 124)
2016-01-24,1.3652882,103.9580519,1,Pasir Ris Street 11 (Blk 125)
2016-01-24,1.3653337,103.9580673,3,Pasir Ris Street 11 (Blk 126)
2016-01-24,1.3652882,103.9580519,2,Pasir Ris Street 11 (Blk 127)
2016-01-24,1.3652882,103.9580519,4,Pasir Ris Street 11 (Blk 128)
2016-01-24,1.3652882,103.9580519,16,Pasir Ris Street 11 (Blk 129)
2016-01-24,1.3652882,103.9580519,5,Pasir Ris Street 11 (Blk 132)
2016-01-24,1.3652882,103.9580519,3,Pasir Ris Street 11 (Blk 133)
2016-01-24,1.365865,103.9543875,3,Pasir Ris Street 11 (Blk 134)
2016-01-24,1.367035,103.958084,1,Pasir Ris Street 12 (Blk 101)
2016-01-24,1.367508,103.958001,1,Pasir Ris Street 12 (Blk 102)
2016-01-24,1.3674845,103.957044,5,Pasir Ris Street 12 (Blk 108)
2016-01-24,1.3671629,103.959539,1,Pasir Ris Street 12 (Blk 199)
2016-01-24,1.3694468,103.9620476,1,Pasir Ris Street 21 (Blk 213)
2016-01-24,1.371025,103.96181,1,Pasir Ris Street 21 (Blk 216)
2016-01-24,1.3670888,103.9529586,2,Pasir Ris Street 51 (Blk 551)
2016-01-24,1.3667292,103.9516981,1,Pasir Ris Street 51 (Blk 558)
2016-01-24,1.4262147,103.8321137,1,Yishun Ring Road (Blk 622)
2016-01-24,1.4262147,103.8321137,1,Yishun Ring Road (Blk 846)
2016-01-24,1.4118704,103.8333253,2,Yishun Street 81 (Blk 816)
2016-01-24,1.413106,103.833757,7,Yishun Street 81 (Blk 820)
2016-01-24,1.4134114,103.8339862,8,Yishun Street 81 (Blk 821)
2016-01-24,1.413955,103.83391,1,Yishun Street 81 (Blk 822)
2016-01-24,1.414017,103.833568,1,Yishun Street 81 (Blk 823)
2016-01-24,1.413424,103.833514,2,Yishun Street 81 (Blk 824)
2016-01-24,1.414388,103.8328949,3,Yishun Street 81 (Blk 825)
2016-01-24,1.414828,103.83238,2,Yishun Street 81 (Blk 827)
2016-01-24,1.415187,103.832772,4,Yishun Street 81 (Blk 828)
2016-01-24,1.414615,103.8330299,2,Yishun Street 81 (Blk 829)
2016-01-24,1.4142649,103.8339891,6,Yishun Street 81 (Blk 830)
2016-01-24,1.4148489,103.834442,2,Yishun Street 81 (Blk 832)
2016-01-24,1.4146311,103.8340797,5,Yishun Street 81 (Blk 833)
2016-01-24,1.415166,103.833882,2,Yishun Street 81 (Blk 834)
2016-01-24,1.415124,103.833335,1,Yishun Street 81 (Blk 835)
2016-01-24,1.415572,103.832901,2,Yishun Street 81 (Blk 836)
2016-01-24,1.4163809,103.833273,6,Yishun Street 81 (Blk 838)
2016-01-24,1.416011,103.834256,1,Yishun Street 81 (Blk 841)
2016-01-24,1.4143129,103.8381557,1,Yishun Street 81 (Blk 865)
2016-01-24,1.4137112,103.8376504,1,Yishun Street 81 (Blk 868)
2016-01-24,1.413187,103.837299,1,Yishun Street 81 (Blk 871)
2016-01-24,1.4147481,103.8354454,1,Yishun Street 81 (Blk 876)
2016-01-24,1.413902,103.83527,1,Yishun Street 81 (Blk 877)
2016-01-24,1.413962,103.836188,1,Yishun Street 81 (Blk 880)
2016-01-24,1.4134292,103.8352528,6,Yishun Street 81 (Orchid Park Condominium)
2016-01-24,1.352083,103.819836,1,Ang Mo Kio Avenue 1 (Kingsgrove)
2016-01-24,1.358366,103.862544,1,Burghley Drive
2016-01-24,1.3566609,103.8661662,4,Cardiff Grove
2016-01-24,51.5133894,-3.2029097,2,Cardiff Grove (Cardiff Residence)
2016-01-24,1.3582015,103.8654275,1,Carisbrooke Grove
2016-01-24,1.3563771,103.8655757,2,Chiselhurst Grove
2016-01-24,1.3552523,103.8615838,2,Golden Drive
2016-01-24,1.3546508,103.861626,8,Golden Rise
2016-01-24,1.3558209,103.8616193,1,Golden Walk
