Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Buona Vista,2015,1,1,0.2,0.2,0.2,0.2,—,—,—,—,—
Buona Vista,2015,1,2,0,0,0,0,—,—,—,—,—
Buona Vista,2015,1,3,0,0,0,0,—,—,—,—,—
Buona Vista,2015,1,4,0,0,0,0,—,—,—,—,—
Buona Vista,2015,1,5,0,0,0,0,—,—,—,—,—
Buona Vista,2015,1,6,24,11.6,12,22.8,—,—,—,—,—
Buona Vista,2015,1,7,7.4,4.8,6.2,7.4,—,—,—,—,—
Buona Vista,2015,1,8,6.2,3.4,4.2,4.6,—,—,—,—,—
Buona Vista,2015,1,9,1.6,0.6,1,1.4,—,—,—,—,—
Buona Vista,2015,1,10,0,0,0,0,—,—,—,—,—
Buona Vista,2015,1,11,16.8,11.8,12.2,12.2,—,—,—,—,—
Buona Vista,2015,1,12,0.2,0.2,0.2,0.2,—,—,—,—,—
Buona Vista,2015,1,13,0,0,0,0,—,—,—,—,—
Buona Vista,2015,1,14,0,0,0,0,—,—,—,—,—
Buona Vista,2015,1,15,0,0,0,0,—,—,—,—,—
Buona Vista,2015,1,16,0,0,0,0,—,—,—,—,—
Buona Vista,2015,1,17,0,0,0,0,—,—,—,—,—
Buona Vista,2015,1,18,0,0,0,0,—,—,—,—,—
Buona Vista,2015,1,19,0.2,0.2,0.2,0.2,—,—,—,—,—
Buona Vista,2015,1,20,0,0,0,0,—,—,—,—,—
Buona Vista,2015,1,21,2,2,2,2,—,—,—,—,—
Buona Vista,2015,1,22,0,0,0,0,—,—,—,—,—
Buona Vista,2015,1,23,0,0,0,0,—,—,—,—,—
Buona Vista,2015,1,24,0,0,0,0,—,—,—,—,—
Buona Vista,2015,1,25,0,0,0,0,—,—,—,—,—
Buona Vista,2015,1,26,0,0,0,0,—,—,—,—,—
Buona Vista,2015,1,27,0,0,0,0,—,—,—,—,—
Buona Vista,2015,1,28,1,1,1,1,—,—,—,—,—
Buona Vista,2015,1,29,0,0,0,0,—,—,—,—,—
Buona Vista,2015,1,30,0.2,0.2,0.2,0.2,—,—,—,—,—
Buona Vista,2015,1,31,0,0,0,0,—,—,—,—,—
