Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Simei,2015,1,1,0.4,0.2,0.2,0.2,—,—,—,—,—
Simei,2015,1,2,0,0,0,0,—,—,—,—,—
Simei,2015,1,3,0,0,0,0,—,—,—,—,—
Simei,2015,1,4,0,0,0,0,—,—,—,—,—
Simei,2015,1,5,0,0,0,0,—,—,—,—,—
Simei,2015,1,6,25.8,11,13,16.8,—,—,—,—,—
Simei,2015,1,7,1.4,0.6,0.8,1.2,—,—,—,—,—
Simei,2015,1,8,1.4,1,1,1,—,—,—,—,—
Simei,2015,1,9,0.4,0.2,0.4,0.4,—,—,—,—,—
Simei,2015,1,10,8.4,6.6,7.8,8.4,—,—,—,—,—
Simei,2015,1,11,0,0,0,0,—,—,—,—,—
Simei,2015,1,12,0,0,0,0,—,—,—,—,—
Simei,2015,1,13,0,0,0,0,—,—,—,—,—
Simei,2015,1,14,0,0,0,0,—,—,—,—,—
Simei,2015,1,15,0,0,0,0,—,—,—,—,—
Simei,2015,1,16,0,0,0,0,—,—,—,—,—
Simei,2015,1,17,0,0,0,0,—,—,—,—,—
Simei,2015,1,18,0,0,0,0,—,—,—,—,—
Simei,2015,1,19,0,0,0,0,—,—,—,—,—
Simei,2015,1,20,0,0,0,0,—,—,—,—,—
Simei,2015,1,21,1.8,1.8,1.8,1.8,—,—,—,—,—
Simei,2015,1,22,0,0,0,0,—,—,—,—,—
Simei,2015,1,23,0,0,0,0,—,—,—,—,—
Simei,2015,1,24,0,0,0,0,—,—,—,—,—
Simei,2015,1,25,0,0,0,0,—,—,—,—,—
Simei,2015,1,26,0,0,0,0,—,—,—,—,—
Simei,2015,1,27,0,0,0,0,—,—,—,—,—
Simei,2015,1,28,0,0,0,0,—,—,—,—,—
Simei,2015,1,29,0,0,0,0,—,—,—,—,—
Simei,2015,1,30,0,0,0,0,—,—,—,—,—
Simei,2015,1,31,0,0,0,0,—,—,—,—,—
